doc_type,doc_no,date,original_customer,ac_code,original_division,created_by,created_ts,original_salesman,amount,customer,division,salesman
DO20,2500462,2025-03-06,QUICK ACTION TRADING - L.L.C,AR-Q0011,MCJ,RINSHAD TK,2025-03-06,RINSHAD T K,3900.0,cus_1044956353,div_0556003793,man_2128340233
ODO10,2500151,2025-03-06,GRANITE CONSTRUCTION COMPANY,AR-G0022,HO,NAVEED,2025-03-06,NEVIN K,2930.0,cus_0003525443,div_2006915470,man_0832785071
DO10,2500155,2025-03-06,HEIRS OF SAEED ABDULLA NASER ALJNEIBI,AR-S0007,HO,FAISAL,2025-03-06,FAISAL,608.0,cus_0406287333,div_2006915470,man_1993412060
DO10,2500156,2025-03-06,HEIRS OF SAEED ABDULLA NASER ALJNEIBI,AR-S0007,HO,FAISAL,2025-03-06,FAISAL,447.5,cus_0406287333,div_2006915470,man_1993412060
DO10,2500157,2025-03-06,AL NAHDA NATIONAL SCHOOLS,AR-A0145,HO,FAISAL,2025-03-06,FAISAL,840.0,cus_0645899566,div_2006915470,man_1993412060
DO10,2500158,2025-03-06,HEIRS OF SAEED ABDULLA NASER ALJNEIBI,AR-S0007,HO,FAISAL,2025-03-06,FAISAL,776.0,cus_0406287333,div_2006915470,man_1993412060
DO10,2500164,2025-03-06,AL NAHDA NATIONAL SCHOOLS,AR-A0145,HO,FAISAL,2025-03-11,FAISAL,999.0,cus_0645899566,div_2006915470,man_1993412060
OFDO10,2500043,2025-03-06,ABU DHABI PORTS COMPANY,AR-A0019,HO,RIYAS P,2025-03-06,FAROOK,27617.5,cus_1957811793,div_2006915470,man_1091962667
DO30,2500538,2025-03-07,ACE MAK INTERNATIONAL TRADING LLC,AR-A0444,Sharjah,ZAINUDHEEN,2025-03-07,BILAL ,1385.0,cus_1550492988,div_1742449716,man_0182687807
ODO10,2500157,2025-03-07,ETIHAD INTERNATIONAL HOSPITALITY(EIH)-SOLE PROPRIETORSHIP LLC,AR-E0024,HO,ASHIK,2025-03-07,ASHIK,3604.4,cus_1403572111,div_2006915470,man_0276416957
DO20,2500475,2025-03-08,WHITE CRESCENT INTERNATIONAL CONTRACTING AND FITOUT - SOLE,AR-W0008,MCJ,RINSHAD TK,2025-03-08,RINSHAD T K,710.0,cus_0888411236,div_0556003793,man_2128340233
DO20,2500476,2025-03-08,RACO GENERAL TRANSPORT EST.,AR-R0003,MCJ,RINSHAD TK,2025-03-08,RINSHAD T K,1250.0,cus_1769454207,div_0556003793,man_2128340233
DO30,2500554,2025-03-10,DELTA BUILDING MATERIALS TRADING LLC,AR-D0034,Sharjah,ZAINUDHEEN,2025-03-10,RINSHAD M U,783.0,cus_1622706617,div_1742449716,man_0298694519
ODO10,2500160,2025-03-10,GULF PIPING CO WLL,AR-G0037,HO,SREERAJ,2025-03-10,SREERAJ,4129.7,cus_1813980675,div_2006915470,man_1205136833
ODO10,2500161,2025-03-10,ELITE AGRO PROJECTS LLC,AR-E0008,HO,SHAMEEM,2025-03-10,SHIMIL ,45140.7,cus_1182818038,div_2006915470,man_1055588320
ODO10,2500162,2025-03-10,ELITE AGRO PROJECTS LLC,AR-E0008,HO,SHAMEEM,2025-03-10,SHIMIL ,8397.5,cus_1182818038,div_2006915470,man_1055588320
ODO10,2500163,2025-03-10,I F M FACILITIES MANAGEMENT L.L.C,AR-I0001,HO,SHAMEEM,2025-03-10,ANSAR ,1476.0,cus_1541705746,div_2006915470,man_0731228032
DO10,2500167,2025-03-10,AL NAHDA NATIONAL SCHOOLS,AR-A0145,HO,FAISAL,2025-03-12,FAISAL,478.0,cus_0645899566,div_2006915470,man_1993412060
DO10,2500160,2025-03-11,GULF ERECTION CO.L.L.C,AR-G0033,HO,FAISAL,2025-03-11,FAISAL,1237.75,cus_1500219345,div_2006915470,man_1993412060
DO10,2500161,2025-03-11,GULF ERECTION CO.L.L.C,AR-G0033,HO,FAISAL,2025-03-11,FAISAL,1105.0,cus_1500219345,div_2006915470,man_1993412060
DO10,2500162,2025-03-11,GULF ERECTION CO.L.L.C,AR-G0033,HO,FAISAL,2025-03-11,FAISAL,860.75,cus_1500219345,div_2006915470,man_1993412060
DO30,2500578,2025-03-11,HYDROCHLON CHEMICALS LLC,AR-H0028,Sharjah,ZAINUDHEEN,2025-03-11,ZAMEER ,3650.0,cus_1753553577,div_1742449716,man_1964161347
DO20,2500485,2025-03-11,QUICK ACTION TRADING - L.L.C,AR-Q0011,MCJ,RINSHAD TK,2025-03-11,RINSHAD T K,305.0,cus_1044956353,div_0556003793,man_2128340233
DO10,2500163,2025-03-11,BASMA SAEED ABDULLA ALJNEIBI,AR-B0061,HO,FAISAL,2025-03-11,FAISAL,145.0,cus_1233138849,div_2006915470,man_1993412060
DO10,2500165,2025-03-11,AL NAHDA NATIONAL SCHOOLS,AR-A0145,HO,FAISAL,2025-03-11,FAISAL,470.0,cus_0645899566,div_2006915470,man_1993412060
DO20,2500488,2025-03-11,QUICK ACTION TRADING - L.L.C,AR-Q0011,MCJ,RINSHAD TK,2025-03-11,RINSHAD T K,640.0,cus_1044956353,div_0556003793,man_2128340233
DO20,2500489,2025-03-11,QALAT AL KHALEEJ GENERAL CON AND MAINTENANCE,AR-Q0001,MCJ,RINSHAD TK,2025-03-11,RINSHAD T K,2760.0,cus_0171186648,div_0556003793,man_2128340233
DO10,2500177,2025-03-12,GULF ERECTION CO.L.L.C,AR-G0033,HO,FAISAL,2025-03-20,FAISAL,713.0,cus_1500219345,div_2006915470,man_1993412060
DO40,1171,2024-02-20,ENGIE COFELY ENERGY SERVICES LLC,AR-E0021,Branch 2,SHAJAHAN M,2024-02-20,SHAJAHAN ,380.0,cus_1073783779,div_0097926054,man_1937350786
DO20,2500491,2025-03-12,M4 CONTRACTING S.A.R.I- ABU DHABI,AR-M0005,MCJ,RINSHAD TK,2025-03-12,RINSHAD T K,300.0,cus_0481271792,div_0556003793,man_2128340233
OFDO10,2500045,2025-03-12,ABU DHABI PORTS COMPANY,AR-A0019,HO,RIYAS P,2025-03-12,FAROOK,1740.0,cus_1957811793,div_2006915470,man_1091962667
DO10,2500179,2025-03-12,GULF ERECTION CO.L.L.C,AR-G0033,HO,FAISAL,2025-03-20,FAISAL,1370.5,cus_1500219345,div_2006915470,man_1993412060
DO10,2500175,2025-03-12,AL NAHDA NATIONAL SCHOOLS,AR-A0145,HO,FAISAL,2025-03-18,FAISAL,175.0,cus_0645899566,div_2006915470,man_1993412060
DO10,2500169,2025-03-12,HEIRS OF SAEED ABDULLA NASER ALJNEIBI,AR-S0007,HO,FAISAL,2025-03-13,FAISAL,460.0,cus_0406287333,div_2006915470,man_1993412060
DO10,2500170,2025-03-12,HEIRS OF SAEED ABDULLA NASER ALJNEIBI,AR-S0007,HO,FAISAL,2025-03-13,FAISAL,90.0,cus_0406287333,div_2006915470,man_1993412060
ODO10,2500166,2025-03-12,EDEN GARDENS L LC,AR-E0004,HO,SHAMEEM,2025-03-12,SHIMIL ,18182.65,cus_0238589070,div_2006915470,man_1055588320
DO20,2500493,2025-03-12,JUMAA ZAYED KHAMIS ALMENTHERI,AR-J0016,MCJ,SAFEER M,2025-03-12,JAFEER ,356.5,cus_0506160776,div_0556003793,man_1683097300
ODO10,2500167,2025-03-12,AL NASIYA GENERAL CONTRACTING L.L.C. CO,AR-A0149,HO,NAVEED,2025-03-12,NEVIN K,730.0,cus_1520944275,div_2006915470,man_0832785071
ODO10,2500169,2025-03-12,GRANITE CONSTRUCTION COMPANY,AR-G0022,HO,NAVEED,2025-03-12,NEVIN K,1613.0,cus_0003525443,div_2006915470,man_0832785071
DO10,2500171,2025-03-12,AL NAHDA NATIONAL SCHOOLS,AR-A0145,HO,FAISAL,2025-03-17,FAISAL,135.0,cus_0645899566,div_2006915470,man_1993412060
DO10,2500172,2025-03-12,AL NAHDA NATIONAL SCHOOLS,AR-A0145,HO,FAISAL,2025-03-17,FAISAL,125.0,cus_0645899566,div_2006915470,man_1993412060
DO10,2500173,2025-03-12,AL NAHDA NATIONAL SCHOOLS,AR-A0145,HO,FAISAL,2025-03-17,FAISAL,420.0,cus_0645899566,div_2006915470,man_1993412060
ODO10,2500175,2025-03-13,ELITE AGRO PROJECTS LLC,AR-E0008,HO,SHAMEEM,2025-03-13,SHIMIL ,1342.02,cus_1182818038,div_2006915470,man_1055588320
DO20,2500502,2025-03-13,QUICK ACTION TRADING - L.L.C,AR-Q0011,MCJ,RINSHAD TK,2025-03-13,RINSHAD T K,3900.0,cus_1044956353,div_0556003793,man_2128340233
ODO10,2500176,2025-03-13,GRANITE CONSTRUCTION COMPANY,AR-G0022,HO,NAVEED,2025-03-13,NEVIN K,584.5,cus_0003525443,div_2006915470,man_0832785071
ODO10,2500183,2025-03-15,ETIHAD INTERNATIONAL HOSPITALITY(EIH)-SOLE PROPRIETORSHIP LLC,AR-E0024,HO,ASHIK,2025-03-15,ASHIK,1170.0,cus_1403572111,div_2006915470,man_0276416957
DO20,2500514,2025-03-16,AL ZAKI ENGINEERING & CONTRACTING COMPANY - W L L,AR-A0207,MCJ,RINSHAD TK,2025-03-16,RINSHAD T K,2790.0,cus_1624829336,div_0556003793,man_2128340233
DO20,2500515,2025-03-16,AL ZAKI ENGINEERING & CONTRACTING COMPANY - W L L,AR-A0207,MCJ,RINSHAD TK,2025-03-16,RINSHAD T K,9552.0,cus_1624829336,div_0556003793,man_2128340233
ODO10,2500184,2025-03-16,TOOLS LINE HARDWARE LLC,AR-T0031,HO,SHIBIN,2025-03-16,ABDUL SATHAR,880.0,cus_2046491444,div_2006915470,man_0427457728
ODO10,2500185,2025-03-16,TOOLS LINE HARDWARE LLC,AR-T0031,HO,SHIBIN,2025-03-16,ABDUL SATHAR,390.0,cus_2046491444,div_2006915470,man_0427457728
DO20,2500516,2025-03-16,RAPID SOLUTIONS ENGINEERING LLC,AR-R0010,MCJ,RINSHAD TK,2025-03-16,RINSHAD T K,320.0,cus_0095376771,div_0556003793,man_2128340233
DO20,2500518,2025-03-17,RAFHA TR. L.L.C,AR-R0005,MCJ,RINSHAD TK,2025-03-17,RINSHAD T K,265.0,cus_1462243956,div_0556003793,man_2128340233
ODO10,2500187,2025-03-17,SAMA SALT PRODUCTION CO L.L.C,AR-S0022,HO,ASHIK,2025-03-17,ASHIK,840.0,cus_1799058171,div_2006915470,man_0276416957
DO40,2500342,2025-03-17,TOOLS LINE HARDWARE LLC,AR-T0031,Branch 2,MUQSHITH,2025-03-17,ABDUL SATHAR,880.0,cus_2046491444,div_0097926054,man_0427457728
ODO10,2500188,2025-03-17,SAMA SALT PRODUCTION CO L.L.C,AR-S0022,HO,SREERAJ,2025-03-17,SREERAJ,840.0,cus_1799058171,div_2006915470,man_1205136833
DO30,2500624,2025-03-17,NOOR AL MAQDIS HARDWARE & ELECT. TRDG. L.L.C.,AR-N0022,Sharjah,ZAINUDHEEN,2025-03-17,ZAMEER ,490.0,cus_1687310474,div_1742449716,man_1964161347
DO20,2500525,2025-03-18,QUICK ACTION TRADING - L.L.C,AR-Q0011,MCJ,RINSHAD TK,2025-03-18,RINSHAD T K,475.0,cus_1044956353,div_0556003793,man_2128340233
DO20,2500526,2025-03-18,QUICK ACTION TRADING - L.L.C,AR-Q0011,MCJ,RINSHAD TK,2025-03-18,RINSHAD T K,240.0,cus_1044956353,div_0556003793,man_2128340233
DO40,2500347,2025-03-18,HARDWARE MARKET L.L.C,AR-H0006,Branch 2,MUQSHITH,2025-03-18,ABDUL SATHAR,820.0,cus_1423215236,div_0097926054,man_0427457728
ODO10,2500191,2025-03-18,ETIHAD INTERNATIONAL HOSPITALITY(EIH)-SOLE PROPRIETORSHIP LLC,AR-E0024,HO,ASHIK,2025-03-18,ASHIK,1410.0,cus_1403572111,div_2006915470,man_0276416957
ODO10,2500192,2025-03-18,EDEN GARDENS L LC,AR-E0004,HO,SHAMEEM,2025-03-18,SHIMIL ,1210.8,cus_0238589070,div_2006915470,man_1055588320
DO20,2500527,2025-03-18,M4 CONTRACTING S.A.R.I- ABU DHABI,AR-M0005,MCJ,RINSHAD TK,2025-03-18,RINSHAD T K,550.0,cus_0481271792,div_0556003793,man_2128340233
DO20,2500528,2025-03-18,QUICK ACTION TRADING - L.L.C,AR-Q0011,MCJ,RINSHAD TK,2025-03-18,RINSHAD T K,1130.0,cus_1044956353,div_0556003793,man_2128340233
OFDO10,2500048,2025-03-19,ABU DHABI PORTS COMPANY,AR-A0019,HO,RIYAS P,2025-03-19,FAROOK,30425.0,cus_1957811793,div_2006915470,man_1091962667
OFDO10,2500049,2025-03-19,AMZONE INTERNATIONAL LTD,AR-A0483,HO,RIYAS P,2025-03-19,FAROOK,0.3,cus_2146294055,div_2006915470,man_1091962667
DO20,2500536,2025-03-19,RONDAK TECHNICAL SERVICES,AR-R0031,MCJ,RINSHAD TK,2025-03-19,RINSHAD T K,95.0,cus_1748850275,div_0556003793,man_2128340233
ODO10,2500193,2025-03-19,EDEN GARDENS L LC,AR-E0004,HO,SHAMEEM,2025-03-19,SHIMIL ,9979.95,cus_0238589070,div_2006915470,man_1055588320
ODO10,2500194,2025-03-19,EDEN GARDENS L LC,AR-E0004,HO,SHAMEEM,2025-03-19,SHIMIL ,10399.95,cus_0238589070,div_2006915470,man_1055588320
DO40,2500353,2025-03-19,EASY LINE HARDWARE SOLE PROPERIETORSHIP L.L.C,AR-E0002,Branch 2,MUQSHITH,2025-03-19,ABDUL SATHAR,1050.0,cus_1662984654,div_0097926054,man_0427457728
DO40,2500354,2025-03-19,BMQ TECHNICAL SUPPLIES COMPANY - L.L.C,AR-B0022,Branch 2,MUQSHITH,2025-03-19,ABDUL SATHAR,670.0,cus_0408017856,div_0097926054,man_0427457728
DO20,2500538,2025-03-19,RAFHA TR. L.L.C,AR-R0005,MCJ,RINSHAD TK,2025-03-19,RINSHAD T K,1350.0,cus_1462243956,div_0556003793,man_2128340233
ODO10,2500195,2025-03-19,ELITE AGRO PROJECTS LLC,AR-E0008,HO,SHAMEEM,2025-03-19,SHIMIL ,2850.0,cus_1182818038,div_2006915470,man_1055588320
DO10,2500176,2025-03-19,GULF ERECTION CO.L.L.C,AR-G0033,HO,FAISAL,2025-03-19,FAISAL,1010.0,cus_1500219345,div_2006915470,man_1993412060
ODO10,2500198,2025-03-19,DHAFIR DEVELOPMENT&CONTRACTING LLC,AR-D0017,HO,NAVEED,2025-03-19,NEVIN K,594.0,cus_0905871979,div_2006915470,man_0832785071
ODO10,2500199,2025-03-19,DHAFIR DEVELOPMENT&CONTRACTING LLC,AR-D0017,HO,NAVEED,2025-03-19,NEVIN K,3450.0,cus_0905871979,div_2006915470,man_0832785071
DO30,2500644,2025-03-19,OASIS STORE FOR BUILDING MATERIALS LLC,AR-O0020,Sharjah,GHAFOOR,2025-03-19,RINSHAD M U,1559.0,cus_0416628130,div_1742449716,man_0298694519
DO40,2500355,2025-03-20,V M B AL MAJARRAH TOOLS AND EQUIPMENT TRADING - L.L.C,AR-V0008,Branch 2,MUQSHITH,2025-03-20,ABDUL SATHAR,4600.0,cus_2136964833,div_0097926054,man_0427457728
OFDO10,2500051,2025-03-20,NATIONAL PETROLEUM CONSTRUCTION CO.L.L.C,AR-N0010,HO,RIYAS P,2025-03-20,FAROOK,22500.0,cus_0054571443,div_2006915470,man_1091962667
DO40,2500356,2025-03-20,FREEDOM BUILDING MATERIALS TRADING LLC.,AR-F0015,Branch 2,MUQSHITH,2025-03-20,ABDUL SATHAR,760.0,cus_1262779008,div_0097926054,man_0427457728
OFDO10,2500052,2025-03-20,OVERSEAS MARINE LOGISTICS LLC,AR-O0018,HO,RIYAS P,2025-03-20,RIYAS P,3176.95,cus_1359820380,div_2006915470,man_1437795418
DO30,2500652,2025-03-20,WADI ALRAHMA BUILDING MATERIALS TRADING LLC,AR-W0002,Sharjah,GHAFOOR,2025-03-20,ZAMEER ,690.0,cus_1769955752,div_1742449716,man_1964161347
DO40,2500357,2025-03-20,NUVAC GLOBAL TRADING L.L.C.,AR-N0027,Branch 2,MUQSHITH,2025-03-20,ABDUL SATHAR,490.0,cus_1565561371,div_0097926054,man_0427457728
DO10,2500178,2025-03-20,GULF ERECTION CO.L.L.C,AR-G0033,HO,FAISAL,2025-03-20,FAISAL,255.4,cus_1500219345,div_2006915470,man_1993412060
DO40,2500358,2025-03-20,TOOLS LINE HARDWARE LLC,AR-T0031,Branch 2,NISAR,2025-03-20,ABDUL SATHAR,715.0,cus_2046491444,div_0097926054,man_0427457728
DO10,2500180,2025-03-20,GULF ERECTION CO.L.L.C,AR-G0033,HO,FAISAL,2025-03-20,FAISAL,1617.0,cus_1500219345,div_2006915470,man_1993412060
DO40,2500359,2025-03-20,BMQ TECHNICAL SUPPLIES COMPANY - L.L.C,AR-B0022,Branch 2,HAMZA,2025-03-20,ABDUL SATHAR,144.0,cus_0408017856,div_0097926054,man_0427457728
DO10,2500181,2025-03-20,GULF ERECTION CO.L.L.C,AR-G0033,HO,FAISAL,2025-03-20,FAISAL,596.5,cus_1500219345,div_2006915470,man_1993412060
ODO10,2500201,2025-03-20,BANIYAS INVESTMENT & DEVELOPMENT COMPANY L L C,AR-B0009,HO,NAVEED,2025-03-20,NEVIN K,3200.0,cus_0428245103,div_2006915470,man_0832785071
DO10,2500182,2025-03-20,GULF ERECTION CO.L.L.C,AR-G0033,HO,FAISAL,2025-03-20,FAISAL,542.5,cus_1500219345,div_2006915470,man_1993412060
DO20,2500547,2025-03-20,QUICK ACTION TRADING - L.L.C,AR-Q0011,MCJ,RINSHAD TK,2025-03-20,RINSHAD T K,3900.0,cus_1044956353,div_0556003793,man_2128340233
DO20,2500548,2025-03-20,V M B AL MAJARRAH TOOLS AND EQUIPMENT TRADING - L.L.C,AR-V0008,MCJ,RINSHAD TK,2025-03-20,RINSHAD T K,270.0,cus_2136964833,div_0556003793,man_2128340233
ODO10,2500203,2025-03-20,TEMPORARY CREDIT COUSTOMER,AR-T0038,HO,SREERAJ,2025-03-20,SREERAJ,1748.0,cus_1446332834,div_2006915470,man_1205136833
